UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
1,453903.80000000000,4942103.03000000000,Amelanchier laevis*,Serviceberry or Juneberry,16,Check position,44.63080451530,-63.58114352540
2,453901.07000000000,4942101.71000000000,Rhus typhina,Sumach,106,Good - Ground Truthed,44.63079245740,-63.58117782270
3,453896.75000000000,4942100.35000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63077993750,-63.58123216070
4,453892.48000000000,4942098.73000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63076508020,-63.58128584510
5,453895.10000000000,4942078.11000000000,Amelanchier laevis*,Serviceberry or Juneberry,16,Good - Ground Truthed,44.63057962610,-63.58125096320
6,453884.38000000000,4942096.56000000000,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63074502600,-63.58138776300
7,453883.08000000000,4942094.06000000000,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63072243740,-63.58140392680
8,453881.58000000000,4942091.04000000000,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63069515500,-63.58142256510
9,453884.20000000000,4942098.34000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63076103810,-63.58139019210
10,453877.10000000000,4942094.44000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63072547440,-63.58147934800
11,453876.22000000000,4942090.18000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63068706920,-63.58149005880
12,453873.53000000000,4942088.36000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63067051280,-63.58152380670
13,453872.27000000000,4942092.16000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63070463970,-63.58154003250
14,453871.14000000000,4942088.42000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63067089950,-63.58155394170
15,453869.29000000000,4942086.98000000000,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63065781780,-63.58157713430
16,453868.09000000000,4942091.30000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63069662960,-63.58159265050
17,453867.25000000000,4942087.22000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63065984740,-63.58160287310
18,453866.19000000000,4942084.47000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63063502370,-63.58161598880
19,453863.61000000000,4942090.27000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63068706990,-63.58164903500
20,453863.86000000000,4942093.53000000000,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63071643260,-63.58164617650
21,453861.06000000000,4942089.30000000000,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63067817420,-63.58168109440
22,453861.68000000000,4942087.08000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63065822950,-63.58167307880
23,453864.20000000000,4942083.29000000000,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63062427350,-63.58164096960
24,453857.82000000000,4942083.36000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63062449400,-63.58172140540
25,453856.35000000000,4942088.33000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63066913980,-63.58174038390
26,453876.43000000000,4942076.69000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63056564510,-63.58148619880
27,453875.01000000000,4942073.25000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63053458690,-63.58150379080
28,453878.45000000000,4942073.86000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63054029890,-63.58146047940
29,453886.61000000000,4942088.35000000000,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63067126230,-63.58135891260
30,453893.04000000000,4942076.77000000000,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63056743120,-63.58127681220
31,453892.38000000000,4942068.96000000000,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63049708280,-63.58128443070
32,453892.96000000000,4942063.03000000000,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63044373790,-63.58127658620
33,453889.73000000000,4942063.36000000000,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63044650130,-63.58131733470
34,453843.36000000000,4942077.15000000000,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63056766260,-63.58190313680
35,453846.03000000000,4942077.42000000000,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63057026470,-63.58186950180
36,453849.78000000000,4942073.96000000000,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63053935840,-63.58182191630
37,453850.89000000000,4942068.52000000000,Corylus avellana,Corkscrew Hazel,39,Good - Ground Truthed,44.63049045860,-63.58180743380
38,453852.77000000000,4942071.83000000000,,,0,Need species ID,44.63052037610,-63.58178403130
39,453855.04000000000,4942070.02000000000,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63050422820,-63.58175525190
40,453859.21000000000,4942067.20000000000,Fagus sylvatica riversii,Copper Beech,46,Good - Ground Truthed,44.63047911020,-63.58170242930
